sku,product_name,stock_on_hand
FLY-001,Fly Spray 1L,40
TRT-001,Horse Treats Apple 1kg,60
HOF-001,Hoof Oil 500ml,30
PAD-001,Everyday Saddle Pad Navy,22
GLV-001,Riding Gloves Black M,25
FLY-002,Fly Rug Mesh Cob,35
PAD-002,Cooler Rug Fleece,28
BRE-001,Breeches Beige 28,30
BRE-002,Breeches Navy 30,26
BOO-001,Jodhpur Boots Brown 5,18
PAD-003,Dressage Pad White,24
BIT-001,Loose Ring Snaffle 5in,20
JKT-001,Show Jacket Tweed 16,14
JKT-002,Show Jacket Navy 8,11
BIT-002,Kimblewick Bit 6in,16
PAD-004,Saddle Pad Neon Pink,33
BOO-002,Long Riding Boots Black 7,9
RUG-001,Turnout Rug 6ft3 200g,20
SPR-001,Spurs Stainless,15
BND-001,Bandages Set of 4 Red,21
